#x y(l)
0.8 0.00149654
0.800142 0.0015052
0.800284 0.00151386
0.800426 0.00152252
0.800568 0.00153118
0.80071 0.00153985
0.800852 0.00154851
0.800994 0.00155718
0.801136 0.00156585
0.801278 0.00157452
0.80142 0.00158319
0.801562 0.00159187
0.801704 0.00160054
0.801846 0.00160922
0.801988 0.00161789
0.80213 0.00162657
0.802272 0.00163525
0.802414 0.00164394
0.802556 0.00165262
0.802698 0.0016613
0.80284 0.00166999
0.802982 0.00167868
0.803124 0.00168736
0.803266 0.00169605
0.803408 0.00170475
0.80355 0.00171344
0.803692 0.00172213
0.803834 0.00173083
0.803976 0.00173953
0.804118 0.00174822
0.80426 0.00175693
0.804402 0.00176563
0.804544 0.00177433
0.804686 0.00178303
0.804828 0.00179174
0.80497 0.00180045
0.805112 0.00180916
0.805254 0.00181787
0.805396 0.00182658
0.805538 0.00183529
0.80568 0.00184401
0.805822 0.00185272
0.805964 0.00186144
0.806106 0.00187016
0.806248 0.00187888
0.80639 0.0018876
0.806532 0.00189633
0.806674 0.00190505
0.806816 0.00191378
0.806958 0.00192251
0.8071 0.00193124
0.807242 0.00193997
0.807384 0.0019487
0.807526 0.00195744
0.807668 0.00196617
0.80781 0.00197491
0.807952 0.00198365
0.808094 0.00199239
0.808236 0.00200113
0.808378 0.00200988
0.80852 0.00201862
0.808662 0.00202737
0.808804 0.00203612
0.808946 0.00204487
0.809088 0.00205362
0.80923 0.00206237
0.809372 0.00207113
0.809514 0.00207988
0.809656 0.00208864
0.809798 0.0020974
0.80994 0.00210616
0.810082 0.00211493
0.810224 0.00212369
0.810366 0.00213246
0.810508 0.00214122
0.81065 0.00214999
0.810792 0.00215876
0.810934 0.00216753
0.811076 0.00217631
0.811218 0.00218508
0.81136 0.00219386
0.811502 0.00220264
0.811644 0.00221142
0.811786 0.0022202
0.811928 0.00222898
0.81207 0.00223777
0.812212 0.00224656
0.812354 0.00225534
0.812496 0.00226413
0.812638 0.00227293
0.81278 0.00228172
0.812922 0.00229051
0.813064 0.00229931
0.813206 0.00230811
0.813348 0.00231691
0.81349 0.00232571
0.813632 0.00233451
0.813774 0.00234332
0.813916 0.00235212
0.814058 0.00236093
0.8142 0.00236974
0.814342 0.00237855
0.814484 0.00238737
0.814626 0.00239618
0.814768 0.002405
0.81491 0.00241381
0.815052 0.00242263
0.815194 0.00243145
0.815336 0.00244028
0.815478 0.0024491
0.81562 0.00245793
0.815762 0.00246676
0.815904 0.00247559
0.816046 0.00248442
0.816188 0.00249325
0.81633 0.00250209
0.816472 0.00251092
0.816614 0.00251976
0.816756 0.0025286
0.816898 0.00253744
0.81704 0.00254628
0.817182 0.00255513
0.817324 0.00256398
0.817466 0.00257282
0.817608 0.00258167
0.81775 0.00259052
0.817892 0.00259938
0.818034 0.00260823
0.818176 0.00261709
0.818318 0.00262595
0.81846 0.00263481
0.818602 0.00264367
0.818744 0.00265253
0.818886 0.0026614
0.819028 0.00267027
0.81917 0.00267913
0.819312 0.002688
0.819454 0.00269688
0.819596 0.00270575
0.819738 0.00271463
0.81988 0.0027235
0.820022 0.00273238
0.820164 0.00274126
0.820306 0.00275015
0.820448 0.00275903
0.82059 0.00276792
0.820732 0.0027768
0.820874 0.00278569
0.821016 0.00279458
0.821158 0.00280348
0.8213 0.00281237
0.821442 0.00282127
0.821584 0.00283017
0.821726 0.00283907
0.821868 0.00284797
0.82201 0.00285687
0.822152 0.00286578
0.822294 0.00287468
0.822436 0.00288359
0.822578 0.0028925
0.82272 0.00290141
0.822862 0.00291033
0.823004 0.00291924
0.823146 0.00292816
0.823288 0.00293708
0.82343 0.002946
0.823572 0.00295492
0.823714 0.00296385
0.823856 0.00297277
0.823998 0.0029817
0.82414 0.00299063
0.824282 0.00299956
0.824424 0.00300849
0.824566 0.00301743
0.824708 0.00302637
0.82485 0.0030353
0.824992 0.00304424
0.825134 0.00305319
0.825276 0.00306213
0.825418 0.00307108
0.82556 0.00308002
0.825702 0.00308897
0.825844 0.00309792
0.825986 0.00310688
0.826128 0.00311583
0.82627 0.00312479
0.826412 0.00313374
0.826554 0.0031427
0.826696 0.00315166
0.826838 0.00316063
0.82698 0.00316959
0.827122 0.00317856
0.827264 0.00318753
0.827406 0.0031965
0.827548 0.00320547
0.82769 0.00321444
0.827832 0.00322342
0.827974 0.0032324
0.828116 0.00324138
0.828258 0.00325036
0.8284 0.00325934
0.828542 0.00326832
0.828684 0.00327731
0.828826 0.0032863
0.828968 0.00329529
0.82911 0.00330428
0.829252 0.00331327
0.829394 0.00332227
0.829536 0.00333127
0.829678 0.00334026
0.82982 0.00334927
0.829962 0.00335827
0.830104 0.00336727
0.830246 0.00337628
0.830388 0.00338529
0.83053 0.00339429
0.830672 0.00340331
0.830814 0.00341232
0.830956 0.00342133
0.831098 0.00343035
0.83124 0.00343937
0.831382 0.00344839
0.831524 0.00345741
0.831666 0.00346644
0.831808 0.00347546
0.83195 0.00348449
0.832092 0.00349352
0.832234 0.00350255
0.832376 0.00351158
0.832518 0.00352062
0.83266 0.00352965
0.832802 0.00353869
0.832944 0.00354773
0.833086 0.00355677
0.833228 0.00356582
0.83337 0.00357486
0.833512 0.00358391
0.833654 0.00359296
0.833796 0.00360201
0.833938 0.00361106
0.83408 0.00362011
0.834222 0.00362917
0.834364 0.00363823
0.834506 0.00364729
0.834648 0.00365635
0.83479 0.00366541
0.834932 0.00367448
0.835074 0.00368355
0.835216 0.00369261
0.835358 0.00370168
0.8355 0.00371076
0.835642 0.00371983
0.835784 0.00372891
0.835926 0.00373798
0.836068 0.00374706
0.83621 0.00375614
0.836352 0.00376523
0.836494 0.00377431
0.836636 0.0037834
0.836778 0.00379249
0.83692 0.00380158
0.837062 0.00381067
0.837204 0.00381976
0.837346 0.00382886
0.837488 0.00383796
0.83763 0.00384706
0.837772 0.00385616
0.837914 0.00386526
0.838056 0.00387436
0.838198 0.00388347
0.83834 0.00389258
0.838482 0.00390169
0.838624 0.0039108
0.838766 0.00391991
0.838908 0.00392903
0.83905 0.00393815
0.839192 0.00394726
0.839334 0.00395638
0.839476 0.00396551
0.839618 0.00397463
0.83976 0.00398376
0.839902 0.00399289
0.840044 0.00400201
0.840186 0.00401115
0.840328 0.00402028
0.84047 0.00402941
0.840612 0.00403855
0.840754 0.00404769
0.840896 0.00405683
0.841038 0.00406597
0.84118 0.00407512
0.841322 0.00408426
0.841464 0.00409341
0.841606 0.00410256
0.841748 0.00411171
0.84189 0.00412086
0.842032 0.00413002
0.842174 0.00413917
0.842316 0.00414833
0.842458 0.00415749
0.8426 0.00416665
0.842742 0.00417582
0.842884 0.00418498
0.843026 0.00419415
0.843168 0.00420332
0.84331 0.00421249
0.843452 0.00422166
0.843594 0.00423083
0.843736 0.00424001
0.843878 0.00424919
0.84402 0.00425837
0.844162 0.00426755
0.844304 0.00427673
0.844446 0.00428592
0.844588 0.0042951
0.84473 0.00430429
0.844872 0.00431348
0.845014 0.00432267
0.845156 0.00433187
0.845298 0.00434106
0.84544 0.00435026
0.845582 0.00435946
0.845724 0.00436866
0.845866 0.00437786
0.846008 0.00438707
0.84615 0.00439627
0.846292 0.00440548
0.846434 0.00441469
0.846576 0.0044239
0.846718 0.00443311
0.84686 0.00444233
0.847002 0.00445155
0.847144 0.00446076
0.847286 0.00446998
0.847428 0.00447921
0.84757 0.00448843
0.847712 0.00449766
0.847854 0.00450688
0.847996 0.00451611
0.848138 0.00452534
0.84828 0.00453458
0.848422 0.00454381
0.848564 0.00455305
0.848706 0.00456228
0.848848 0.00457152
0.84899 0.00458076
0.849132 0.00459001
0.849274 0.00459925
0.849416 0.0046085
0.849558 0.00461775
0.8497 0.004627
0.849842 0.00463625
0.849984 0.0046455
0.850126 0.00465476
0.850268 0.00466401
0.85041 0.00467327
0.850552 0.00468253
0.850694 0.0046918
0.850836 0.00470106
0.850978 0.00471033
0.85112 0.00471959
0.851262 0.00472886
0.851404 0.00473813
0.851546 0.00474741
0.851688 0.00475668
0.85183 0.00476596
0.851972 0.00477523
0.852114 0.00478451
0.852256 0.00479379
0.852398 0.00480308
0.85254 0.00481236
0.852682 0.00482165
0.852824 0.00483094
0.852966 0.00484023
0.853108 0.00484952
