#E y_xmax_even y_xmax_odd
0 59110.9 87448.2 
0.00775776 57429.9 86012.6 
0.0155155 55781.9 84597.4 
0.0232733 54166.4 83202.4 
0.031031 52582.9 81827.3 
0.0387888 51030.9 80471.8 
0.0465465 49509.8 79135.8 
0.0543043 48019.1 77818.9 
0.0620621 46558.4 76520.9 
0.0698198 45127.2 75241.6 
0.0775776 43725 73980.7 
0.0853353 42351.4 72738.1 
0.0930931 41005.8 71513.4 
0.100851 39687.8 70306.4 
0.108609 38397.1 69117 
0.116366 37133 67944.8 
0.124124 35895.2 66789.7 
0.131882 34683.3 65651.4 
0.13964 33496.8 64529.8 
0.147397 32335.3 63424.6 
0.155155 31198.4 62335.6 
0.162913 30085.7 61262.6 
0.170671 28996.8 60205.4 
0.178428 27931.2 59163.7 
0.186186 26888.7 58137.5 
0.193944 25868.8 57126.4 
0.201702 24871.1 56130.3 
0.209459 23895.2 55149 
0.217217 22940.8 54182.3 
0.224975 22007.6 53230 
0.232733 21095.1 52291.9 
0.24049 20203 51367.8 
0.248248 19331 50457.6 
0.256006 18478.7 49561.1 
0.263764 17645.8 48678 
0.271522 16831.9 47808.3 
0.279279 16036.7 46951.6 
0.287037 15259.9 46108 
0.294795 14501.2 45277.1 
0.302553 13760.2 44458.8 
0.31031 13036.7 43653 
0.318068 12330.3 42859.5 
0.325826 11640.7 42078.1 
0.333584 10967.7 41308.6 
0.341341 10310.9 40551 
0.349099 9670.09 39805 
0.356857 9044.93 39070.5 
0.364615 8435.16 38347.3 
0.372372 7840.5 37635.3 
0.38013 7260.69 36934.3 
0.387888 6695.44 36244.2 
0.395646 6144.51 35564.8 
0.403403 5607.62 34896.1 
0.411161 5084.53 34237.7 
0.418919 4574.97 33589.7 
0.426677 4078.71 32951.9 
0.434434 3595.5 32324 
0.442192 3125.09 31706.1 
0.44995 2667.25 31097.9 
0.457708 2221.74 30499.4 
0.465465 1788.33 29910.3 
0.473223 1366.8 29330.6 
0.480981 956.929 28760.1 
0.488739 558.486 28198.8 
0.496496 171.258 27646.4 
0.504254 -204.967 27102.8 
0.512012 -570.401 26568 
0.51977 -925.249 26041.9 
0.527528 -1269.72 25524.2 
0.535285 -1604 25014.9 
0.543043 -1928.31 24513.8 
0.550801 -2242.82 24020.9 
0.558559 -2547.74 23536.1 
0.566316 -2843.25 23059.1 
0.574074 -3129.54 22590 
0.581832 -3406.78 22128.5 
0.58959 -3675.17 21674.7 
0.597347 -3934.87 21228.3 
0.605105 -4186.07 20789.3 
0.612863 -4428.92 20357.6 
0.620621 -4663.61 19933.1 
0.628378 -4890.29 19515.6 
0.636136 -5109.14 19105.1 
0.643894 -5320.3 18701.5 
0.651652 -5523.95 18304.7 
0.659409 -5720.23 17914.5 
0.667167 -5909.3 17530.9 
0.674925 -6091.3 17153.8 
0.682683 -6266.4 16783.1 
0.69044 -6434.73 16418.7 
0.698198 -6596.43 16060.5 
0.705956 -6751.65 15708.5 
0.713714 -6900.53 15362.4 
0.721471 -7043.2 15022.3 
0.729229 -7179.8 14688.1 
0.736987 -7310.46 14359.7 
0.744745 -7435.31 14036.9 
0.752503 -7554.48 13719.8 
0.76026 -7668.09 13408.2 
0.768018 -7776.27 13102 
0.775776 -7879.14 12801.2 
0.783534 -7976.82 12505.7 
0.791291 -8069.42 12215.4 
0.799049 -8157.06 11930.2 
0.806807 -8239.86 11650.1 
0.814565 -8317.92 11374.9 
0.822322 -8391.36 11104.7 
0.83008 -8460.28 10839.3 
0.837838 -8524.8 10578.7 
0.845596 -8585 10322.8 
