#x l=1 jerr nerr l=2 jerr nerr
0.01 1.42109e-14 -1.81899e-12 -1.66389e-12 -9.31323e-10 6.6963e-10 -4.76837e-07
0.1099 0 -1.42109e-14 -3.0087e-14 0 -1.42718e-12 -1.45519e-11
0.2098 8.88178e-16 0 -4.55191e-15 -5.68434e-14 1.18058e-13 0
0.3097 -4.44089e-16 0 -3.21965e-15 0 8.86791e-15 -2.27374e-13
0.4096 0 0 -1.55431e-15 -7.10543e-15 -8.57647e-15 -1.13687e-13
0.5095 0 -8.88178e-16 0 0 1.56819e-14 -2.84217e-14
0.6094 0 0 -1.44329e-15 3.55271e-15 5.4956e-15 -1.42109e-14
0.7093 0 0 9.99201e-16 0 1.66533e-16 0
0.8092 -2.22045e-16 0 -4.44089e-16 0 -5.93969e-15 -7.10543e-15
0.9091 0 2.22045e-16 -3.33067e-16 0 -2.94209e-15 3.55271e-15
1.009 1.11022e-16 0 2.22045e-16 8.88178e-16 -1.16573e-15 7.10543e-15
1.1089 -1.11022e-16 0 -2.22045e-16 0 -2.16493e-15 1.77636e-15
1.2088 1.11022e-16 0 0 0 1.66533e-15 0
1.3087 0 0 -5.55112e-17 0 2.22045e-16 8.88178e-16
1.4086 5.55112e-17 0 2.22045e-16 -2.22045e-16 6.66134e-16 0
1.5085 0 0 2.77556e-17 0 1.38778e-16 -4.44089e-16
1.6084 -5.55112e-17 0 -1.11022e-16 2.22045e-16 -3.33067e-16 1.33227e-15
1.7083 0 0 2.77556e-17 -2.22045e-16 2.77556e-16 -4.44089e-16
1.8082 0 -5.55112e-17 0 -1.11022e-16 -5.55112e-17 -4.44089e-16
1.9081 0 0 0 -1.11022e-16 3.88578e-16 -2.22045e-16
2.008 0 0 0 0 1.66533e-16 -2.22045e-16
2.1079 0 0 0 -1.11022e-16 1.11022e-16 2.22045e-16
2.2078 -5.55112e-17 0 -8.32667e-17 0 0 -2.22045e-16
2.3077 5.55112e-17 2.77556e-17 8.32667e-17 0 2.22045e-16 -2.22045e-16
2.4076 0 0 -1.11022e-16 0 -1.66533e-16 2.22045e-16
2.5075 0 0 -5.55112e-17 0 -5.55112e-17 0
2.6074 0 0 0 -5.55112e-17 0 -1.11022e-16
2.7073 0 1.38778e-17 5.55112e-17 0 2.22045e-16 0
2.8072 0 1.38778e-17 -1.11022e-16 -5.55112e-17 -2.498e-16 -1.11022e-16
2.9071 0 1.38778e-17 5.55112e-17 -5.55112e-17 5.55112e-17 1.11022e-16
3.007 0 0 -5.55112e-17 5.55112e-17 2.77556e-17 0
3.1069 0 -1.38778e-17 -5.55112e-17 -2.77556e-17 -5.55112e-17 -5.55112e-17
3.2068 0 -1.38778e-17 0 -2.77556e-17 -2.77556e-17 0
3.3067 0 0 5.55112e-17 0 0 0
3.4066 0 0 5.55112e-17 0 0 0
3.5065 0 0 0 -4.16334e-17 2.77556e-17 0
3.6064 0 0 0 1.38778e-17 5.55112e-17 0
3.7063 0 0 5.55112e-17 -2.77556e-17 -2.77556e-17 -5.55112e-17
3.8062 2.77556e-17 0 0 0 0 5.55112e-17
3.9061 0 0 0 5.55112e-17 2.77556e-17 5.55112e-17
4.006 -1.38778e-17 0 0 0 0 0
4.1059 0 -2.77556e-17 -5.55112e-17 -1.38778e-17 -8.32667e-17 2.77556e-17
4.2058 0 2.77556e-17 0 1.38778e-17 2.77556e-17 0
4.3057 -6.93889e-18 0 0 2.77556e-17 5.55112e-17 -2.77556e-17
4.4056 6.93889e-18 0 -2.77556e-17 0 2.77556e-17 -2.77556e-17
4.5055 0 0 0 2.77556e-17 2.77556e-17 1.38778e-17
4.6054 0 0 0 1.38778e-17 2.77556e-17 0
4.7053 6.93889e-18 0 2.77556e-17 -5.55112e-17 0 -1.38778e-17
4.8052 0 0 0 2.77556e-17 -5.55112e-17 6.93889e-18
4.9051 1.38778e-17 0 2.77556e-17 -2.77556e-17 0 -6.93889e-18
5.005 0 0 0 0 -2.77556e-17 -6.93889e-18
5.1049 0 0 2.77556e-17 0 0 -4.16334e-17
5.2048 0 0 -1.38778e-17 -2.77556e-17 0 0
5.3047 0 0 -1.38778e-17 0 0 -1.38778e-17
5.4046 0 0 0 -2.77556e-17 0 -1.38778e-17
5.5045 0 0 -1.38778e-17 2.77556e-17 -2.77556e-17 2.77556e-17
5.6044 0 0 0 0 -2.77556e-17 -2.77556e-17
5.7043 0 0 -1.38778e-17 2.77556e-17 0 2.77556e-17
5.8042 0 0 2.77556e-17 0 0 0
5.9041 0 0 -6.93889e-18 0 0 -1.38778e-17
6.004 0 0 6.93889e-18 0 -2.77556e-17 -1.38778e-17
6.1039 0 0 1.38778e-17 0 0 0
6.2038 0 0 1.38778e-17 0 -4.16334e-17 0
6.3037 0 3.46945e-18 1.38778e-17 -2.77556e-17 1.38778e-17 0
6.4036 0 0 0 0 1.38778e-17 0
6.5035 0 6.93889e-18 2.77556e-17 -1.38778e-17 1.38778e-17 -2.77556e-17
6.6034 0 0 -1.38778e-17 0 6.93889e-18 0
6.7033 0 0 -1.38778e-17 1.38778e-17 0 0
6.8032 0 0 0 0 0 0
