#x y_true y_numerov
5 3.72665e-05 3.72665e-05 
4.9999 3.72844e-05 3.72844e-05 
4.9998 3.73023e-05 3.73023e-05 
4.9997 3.73202e-05 3.73202e-05 
4.9996 3.73381e-05 3.73381e-05 
4.9995 3.73561e-05 3.73561e-05 
4.9994 3.7374e-05 3.7374e-05 
4.9993 3.73919e-05 3.73919e-05 
4.9992 3.74099e-05 3.74099e-05 
4.9991 3.74279e-05 3.74279e-05 
4.999 3.74458e-05 3.74458e-05 
4.9989 3.74638e-05 3.74638e-05 
4.9988 3.74818e-05 3.74818e-05 
4.9987 3.74998e-05 3.74998e-05 
4.9986 3.75178e-05 3.75178e-05 
4.9985 3.75358e-05 3.75358e-05 
4.9984 3.75538e-05 3.75538e-05 
4.9983 3.75718e-05 3.75718e-05 
4.9982 3.75898e-05 3.75898e-05 
4.9981 3.76079e-05 3.76079e-05 
4.998 3.76259e-05 3.76259e-05 
4.9979 3.7644e-05 3.7644e-05 
4.9978 3.76621e-05 3.76621e-05 
4.9977 3.76801e-05 3.76801e-05 
4.9976 3.76982e-05 3.76982e-05 
4.9975 3.77163e-05 3.77163e-05 
4.9974 3.77344e-05 3.77344e-05 
4.9973 3.77525e-05 3.77525e-05 
4.9972 3.77706e-05 3.77706e-05 
4.9971 3.77887e-05 3.77887e-05 
4.997 3.78069e-05 3.78069e-05 
4.9969 3.7825e-05 3.7825e-05 
4.9968 3.78432e-05 3.78432e-05 
4.9967 3.78613e-05 3.78613e-05 
4.9966 3.78795e-05 3.78795e-05 
4.9965 3.78977e-05 3.78977e-05 
4.9964 3.79158e-05 3.79158e-05 
4.9963 3.7934e-05 3.7934e-05 
4.9962 3.79522e-05 3.79522e-05 
4.9961 3.79704e-05 3.79704e-05 
4.996 3.79886e-05 3.79886e-05 
4.9959 3.80069e-05 3.80069e-05 
4.9958 3.80251e-05 3.80251e-05 
4.9957 3.80433e-05 3.80433e-05 
4.9956 3.80616e-05 3.80616e-05 
4.9955 3.80798e-05 3.80798e-05 
4.9954 3.80981e-05 3.80981e-05 
4.9953 3.81164e-05 3.81164e-05 
4.9952 3.81347e-05 3.81347e-05 
4.9951 3.8153e-05 3.8153e-05 
4.995 3.81713e-05 3.81713e-05 
4.9949 3.81896e-05 3.81896e-05 
4.9948 3.82079e-05 3.82079e-05 
4.9947 3.82262e-05 3.82262e-05 
4.9946 3.82445e-05 3.82445e-05 
4.9945 3.82629e-05 3.82629e-05 
4.9944 3.82812e-05 3.82812e-05 
4.9943 3.82996e-05 3.82996e-05 
4.9942 3.83179e-05 3.83179e-05 
4.9941 3.83363e-05 3.83363e-05 
4.994 3.83547e-05 3.83547e-05 
4.9939 3.83731e-05 3.83731e-05 
4.9938 3.83915e-05 3.83915e-05 
4.9937 3.84099e-05 3.84099e-05 
4.9936 3.84283e-05 3.84283e-05 
4.9935 3.84467e-05 3.84467e-05 
4.9934 3.84652e-05 3.84652e-05 
4.9933 3.84836e-05 3.84836e-05 
4.9932 3.85021e-05 3.85021e-05 
4.9931 3.85205e-05 3.85205e-05 
4.993 3.8539e-05 3.8539e-05 
4.9929 3.85575e-05 3.85575e-05 
4.9928 3.85759e-05 3.85759e-05 
4.9927 3.85944e-05 3.85944e-05 
4.9926 3.86129e-05 3.86129e-05 
4.9925 3.86314e-05 3.86314e-05 
4.9924 3.865e-05 3.865e-05 
4.9923 3.86685e-05 3.86685e-05 
4.9922 3.8687e-05 3.8687e-05 
4.9921 3.87056e-05 3.87056e-05 
4.992 3.87241e-05 3.87241e-05 
4.9919 3.87427e-05 3.87427e-05 
4.9918 3.87612e-05 3.87612e-05 
4.9917 3.87798e-05 3.87798e-05 
4.9916 3.87984e-05 3.87984e-05 
4.9915 3.8817e-05 3.8817e-05 
4.9914 3.88356e-05 3.88356e-05 
4.9913 3.88542e-05 3.88542e-05 
4.9912 3.88728e-05 3.88728e-05 
4.9911 3.88915e-05 3.88915e-05 
4.991 3.89101e-05 3.89101e-05 
4.9909 3.89287e-05 3.89287e-05 
4.9908 3.89474e-05 3.89474e-05 
4.9907 3.8966e-05 3.8966e-05 
4.9906 3.89847e-05 3.89847e-05 
4.9905 3.90034e-05 3.90034e-05 
4.9904 3.90221e-05 3.90221e-05 
4.9903 3.90408e-05 3.90408e-05 
4.9902 3.90595e-05 3.90595e-05 
4.9901 3.90782e-05 3.90782e-05 
4.99 3.90969e-05 3.90969e-05 
4.9899 3.91156e-05 3.91156e-05 
4.9898 3.91344e-05 3.91344e-05 
4.9897 3.91531e-05 3.91531e-05 
4.9896 3.91719e-05 3.91719e-05 
4.9895 3.91907e-05 3.91907e-05 
4.9894 3.92094e-05 3.92094e-05 
4.9893 3.92282e-05 3.92282e-05 
4.9892 3.9247e-05 3.9247e-05 
4.9891 3.92658e-05 3.92658e-05 
4.989 3.92846e-05 3.92846e-05 
4.9889 3.93034e-05 3.93034e-05 
4.9888 3.93222e-05 3.93222e-05 
4.9887 3.93411e-05 3.93411e-05 
4.9886 3.93599e-05 3.93599e-05 
4.9885 3.93788e-05 3.93788e-05 
4.9884 3.93976e-05 3.93976e-05 
4.9883 3.94165e-05 3.94165e-05 
4.9882 3.94354e-05 3.94354e-05 
4.9881 3.94543e-05 3.94543e-05 
4.988 3.94732e-05 3.94732e-05 
4.9879 3.94921e-05 3.94921e-05 
4.9878 3.9511e-05 3.9511e-05 
4.9877 3.95299e-05 3.95299e-05 
4.9876 3.95488e-05 3.95488e-05 
4.9875 3.95678e-05 3.95678e-05 
4.9874 3.95867e-05 3.95867e-05 
4.9873 3.96056e-05 3.96056e-05 
4.9872 3.96246e-05 3.96246e-05 
4.9871 3.96436e-05 3.96436e-05 
4.987 3.96626e-05 3.96626e-05 
4.9869 3.96816e-05 3.96816e-05 
4.9868 3.97005e-05 3.97005e-05 
4.9867 3.97196e-05 3.97196e-05 
4.9866 3.97386e-05 3.97386e-05 
4.9865 3.97576e-05 3.97576e-05 
4.9864 3.97766e-05 3.97766e-05 
4.9863 3.97957e-05 3.97957e-05 
4.9862 3.98147e-05 3.98147e-05 
4.9861 3.98338e-05 3.98338e-05 
4.986 3.98528e-05 3.98528e-05 
4.9859 3.98719e-05 3.98719e-05 
4.9858 3.9891e-05 3.9891e-05 
4.9857 3.99101e-05 3.99101e-05 
4.9856 3.99292e-05 3.99292e-05 
4.9855 3.99483e-05 3.99483e-05 
4.9854 3.99674e-05 3.99674e-05 
4.9853 3.99866e-05 3.99866e-05 
4.9852 4.00057e-05 4.00057e-05 
4.9851 4.00248e-05 4.00248e-05 
4.985 4.0044e-05 4.0044e-05 
4.9849 4.00632e-05 4.00632e-05 
4.9848 4.00823e-05 4.00823e-05 
4.9847 4.01015e-05 4.01015e-05 
4.9846 4.01207e-05 4.01207e-05 
4.9845 4.01399e-05 4.01399e-05 
4.9844 4.01591e-05 4.01591e-05 
4.9843 4.01783e-05 4.01783e-05 
4.9842 4.01975e-05 4.01975e-05 
4.9841 4.02168e-05 4.02168e-05 
4.984 4.0236e-05 4.0236e-05 
4.9839 4.02553e-05 4.02553e-05 
4.9838 4.02745e-05 4.02745e-05 
4.9837 4.02938e-05 4.02938e-05 
4.9836 4.03131e-05 4.03131e-05 
4.9835 4.03324e-05 4.03324e-05 
4.9834 4.03517e-05 4.03517e-05 
4.9833 4.0371e-05 4.0371e-05 
4.9832 4.03903e-05 4.03903e-05 
