#E sigma_tot
0.0627119 14.9809
0.0633271 15.1282
0.0639424 15.2855
0.0645576 15.4538
0.0651729 15.6335
0.0657881 15.8273
0.0664034 16.0355
0.0670186 16.2604
0.0676339 16.5038
0.0682492 16.7676
0.0688644 17.0549
0.0694797 17.368
0.0700949 17.7105
0.0707102 18.0858
0.0713254 18.4983
0.0719407 18.9529
0.0725559 19.4549
0.0731712 20.011
0.0737864 20.6287
0.0744017 21.3156
0.0750169 22.0817
0.0756322 22.9377
0.0762475 23.8961
0.0768627 24.9705
0.077478 26.1735
0.0780932 27.5257
0.0787085 29.0385
0.0793237 30.7353
0.079939 32.6231
0.0805542 34.717
0.0811695 37.0219
0.0817847 39.5318
0.0824 42.2249
0.0830153 45.0491
0.0836305 47.9526
0.0842458 50.8196
0.084861 53.5348
0.0854763 55.9623
0.0860915 57.9438
0.0867068 59.3628
0.087322 60.1356
0.0879373 60.2394
0.0885525 59.7036
0.0891678 58.6131
0.0897831 57.077
0.0903983 55.2262
0.0910136 53.1752
0.0916288 51.0338
0.0922441 48.8812
0.0928593 46.7781
0.0934746 44.7656
0.0940898 42.8686
0.0947051 41.1019
0.0953203 39.4667
0.0959356 37.9647
0.0965508 36.5876
0.0971661 35.331
0.0977814 34.1832
0.0983966 33.1387
0.0990119 32.187
0.0996271 31.3195
0.100242 30.5283
0.100858 29.806
0.101473 29.1493
0.102088 28.5455
0.102703 27.9922
0.103319 27.4887
0.103934 27.0223
0.104549 26.5978
0.105164 26.2023
0.10578 25.8424
0.106395 25.5106
0.10701 25.2041
0.107625 24.9206
0.108241 24.6582
0.108856 24.4148
0.109471 24.189
0.110086 23.979
0.110702 23.7908
0.111317 23.6089
0.111932 23.4467
0.112547 23.2886
0.113163 23.1484
0.113778 23.0103
0.114393 22.8888
0.115008 22.7756
0.115624 22.6701
0.116239 22.5717
0.116854 22.4799
0.117469 22.3943
0.118085 22.3143
0.1187 22.2397
0.119315 22.17
0.119931 22.113
0.120546 22.0523
0.121161 21.9956
0.121776 21.9508
0.122392 21.9015
0.123007 21.8635
0.123622 21.8286
0.124237 21.7889
0.124853 21.7598
0.125468 21.7333
0.126083 21.7092
0.126698 21.6875
0.127314 21.668
0.127929 21.6507
0.128544 21.6354
0.129159 21.622
0.129775 21.6105
0.13039 21.6008
0.131005 21.5995
0.13162 21.5931
0.132236 21.5883
0.132851 21.5914
0.133466 21.5897
0.134081 21.5954
0.134697 21.6024
0.135312 21.6048
0.135927 21.6143
0.136542 21.6249
0.137158 21.6365
0.137773 21.6442
0.138388 21.6582
0.139003 21.6733
0.139619 21.6894
0.140234 21.7066
0.140849 21.7248
0.141464 21.7441
0.14208 21.7686
0.142695 21.7898
0.14331 21.812
0.143925 21.8354
0.144541 21.8633
0.145156 21.8886
0.145771 21.9183
0.146386 21.9455
0.147002 21.9769
0.147617 22.0062
0.148232 22.0394
0.148847 22.0735
0.149463 22.1057
0.150078 22.1416
0.150693 22.1784
0.151308 22.2161
0.151924 22.2525
0.152539 22.2921
0.153154 22.3327
0.153769 22.3743
0.154385 22.4168
0.155 22.4603
0.155615 22.5066
0.156231 22.5521
0.156846 22.5985
0.157461 22.646
0.158076 22.6946
0.158692 22.7458
0.159307 22.7965
0.159922 22.8482
0.160537 22.9026
0.161153 22.9565
0.161768 23.013
0.162383 23.0692
0.162998 23.1279
0.163614 23.1864
0.164229 23.2475
0.164844 23.3097
0.165459 23.3717
0.166075 23.4364
0.16669 23.5023
0.167305 23.5695
0.16792 23.6365
0.168536 23.7063
0.169151 23.7773
0.169766 23.8498
0.170381 23.9235
0.170997 23.9987
0.171612 24.0753
0.172227 24.1533
0.172842 24.2327
0.173458 24.3154
0.174073 24.3978
0.174688 24.4818
0.175303 24.5672
0.175919 24.6543
0.176534 24.7449
0.177149 24.8351
0.177764 24.927
