#E sigma_tot
0.0169492 0
0.0191525 0
0.0213559 0
0.0235593 0
0.0257627 0
0.0279661 0
0.0301695 0
0.0323729 0
0.0345763 0
0.0367797 0
0.0389831 0
0.0411864 0
0.0433898 0
0.0455932 0
0.0477966 0
0.05 0
0.0522034 0
0.0544068 0
0.0566102 0
0.0588136 0
0.0610169 0
0.0632203 0
0.0654237 0
0.0676271 0
0.0698305 0
0.0720339 0
0.0742373 0
0.0764407 0
0.0786441 0
0.0808475 0
0.0830508 0
0.0852542 0
0.0874576 0
0.089661 0
0.0918644 0
0.0940678 0
0.0962712 0
0.0984746 0
0.100678 0
0.102881 0
0.105085 0
0.107288 0
0.109492 0
0.111695 0
0.113898 0
0.116102 0
0.118305 0
0.120508 0
0.122712 0
0.124915 0
0.127119 0
0.129322 0
0.131525 0
0.133729 0
0.135932 0
0.138136 0
0.140339 0
0.142542 0
0.144746 0
0.146949 0
0.149153 0
0.151356 0
0.153559 0
0.155763 0
0.157966 0
0.160169 0
0.162373 0
0.164576 0
0.16678 0
0.168983 0
0.171186 0
0.17339 0
0.175593 0
0.177797 0
0.18 0
0.182203 0
0.184407 0
0.18661 0
0.188814 0
0.191017 0
0.19322 0
0.195424 0
0.197627 0
0.199831 0
0.202034 0
0.204237 0
0.206441 0
0.208644 0
0.210847 0
0.213051 0
0.215254 0
0.217458 0
0.219661 0
0.221864 0
0.224068 0
0.226271 0
0.228475 0
0.230678 0
0.232881 0
0.235085 0
0.237288 0
0.239492 0
0.241695 0
0.243898 0
0.246102 0
0.248305 0
0.250508 0
0.252712 0
0.254915 0
0.257119 0
0.259322 0
0.261525 0
0.263729 0
0.265932 0
0.268136 0
0.270339 0
0.272542 0
0.274746 0
0.276949 0
0.279153 0
0.281356 0
0.283559 0
0.285763 0
0.287966 0
0.290169 0
0.292373 0
0.294576 0
0.29678 0
0.298983 0
0.301186 0
0.30339 0
0.305593 0
0.307797 0
0.31 0
0.312203 0
0.314407 0
0.31661 0
0.318814 0
0.321017 0
0.32322 0
0.325424 0
0.327627 0
0.329831 0
0.332034 0
0.334237 0
0.336441 0
0.338644 0
0.340847 0
0.343051 0
0.345254 0
0.347458 11.7983
0.349661 0
0.351864 0
0.354068 0
0.356271 0
0.358475 0
0.360678 0
0.362881 0
0.365085 0
0.367288 0
0.369492 0
0.371695 0
0.373898 0
0.376102 0
0.378305 0
0.380508 0
0.382712 0
0.384915 0
0.387119 0
0.389322 0
0.391525 0
0.393729 0
0.395932 0
0.398136 0
0.400339 0
0.402542 0
0.404746 0
0.406949 0
0.409153 0
0.411356 0
0.413559 0
0.415763 0
0.417966 0
0.420169 0
0.422373 0
0.424576 0
0.42678 0
0.428983 0
0.431186 0
0.43339 0
0.435593 0
0.437797 0
0.44 0
0.442203 0
0.444407 0
0.44661 0
0.448814 0
0.451017 0
0.45322 0
0.455424 0
0.457627 0
0.459831 0
0.462034 0
0.464237 0
0.466441 0
0.468644 0
0.470847 0
0.473051 0
0.475254 0
0.477458 0
0.479661 0
0.481864 0
0.484068 0
0.486271 0
0.488475 0
0.490678 0
0.492881 0
0.495085 0
0.497288 0
0.499492 0
0.501695 0
0.503898 0
0.506102 0
0.508305 0
0.510508 0
0.512712 0
0.514915 0
0.517119 0
0.519322 0
0.521525 0
0.523729 0
0.525932 0
0.528136 0
0.530339 0
0.532542 0
0.534746 0
0.536949 0
0.539153 0
0.541356 0
0.543559 0
0.545763 0
0.547966 0
0.550169 0
0.552373 0
0.554576 0
0.55678 0
0.558983 0
0.561186 0
0.56339 0
0.565593 0
0.567797 0
0.57 0
0.572203 0
0.574407 0
0.57661 0
0.578814 0
0.581017 0
0.58322 0
0.585424 0
0.587627 0
0.589831 0
0.592034 0
0.594237 0
0.596441 0
0.598644 0
0.600847 0
0.603051 0
0.605254 0
0.607458 0
0.609661 0
0.611864 0
0.614068 0
0.616271 0
0.618475 0
0.620678 0
0.622881 0
0.625085 0
0.627288 0
0.629492 0
0.631695 0
0.633898 0
0.636102 0
0.638305 0
0.640508 0
0.642712 0
0.644915 0
0.647119 0
0.649322 0
0.651525 0
0.653729 0
0.655932 0
0.658136 0
0.660339 0
0.662542 0
0.664746 0
0.666949 0
0.669153 0
0.671356 0
0.673559 0
0.675763 0
