b E dEavg EJF dEJFavg
1.05 11.7273 0.208299 12.6348 0.303486
1.065 7.84249 0.288251 8.98251 0.355048
1.08 4.18469 0.142846 5.13511 0.249978
1.095 1.67041 0.105838 2.87015 0.202248
1.11 -0.205117 0.096551 1.25694 0.214528
1.125 -2.00926 0.0773297 -1.05097 0.203167
1.14 -3.00813 0.0612085 -1.93749 0.190672
1.155 -3.65519 0.0473059 -1.94734 0.171193
1.17 -3.91288 0.045924 -2.50054 0.151788
1.185 -4.0585 0.0559374 -2.21464 0.184557
1.2 -3.72013 0.0642878 -2.0143 0.153228
1.215 -3.21519 0.0729502 -1.27382 0.140841
1.23 -2.31512 0.0790498 -0.514496 0.126865
1.245 -1.17548 0.137186 0.616581 0.16322
1.26 0.144999 0.11347 1.8193 0.123855
1.275 -159.426 7.60758 115.334 4.05298
1.29 -1252.78 11.9429 607.931 4.81514
1.305 4.70997 0.14872 6.83572 0.10369
1.32 6.4884 0.202659 8.87562 0.116204
1.335 7.25061 0.25838 11.7155 0.130149
