b E dEavg EJF dEJFavg
1.05 11.1699 0.220754 11.9205 0.327064
1.065 7.56055 0.202203 8.44342 0.321548
1.08 4.17288 0.163151 5.32549 0.299313
1.095 10.1744 0.282878 21.8784 0.668461
1.11 -0.347594 0.0997126 1.35146 0.468986
1.125 -1.68913 0.108191 -0.338891 0.360745
1.14 -2.93234 0.0755563 -1.68261 0.2273
1.155 -3.62112 0.0501487 -2.23951 0.175754
1.17 -3.9102 0.044157 -2.34408 0.156451
1.185 -4.04189 0.0538749 -1.92728 0.159313
1.2 -3.67817 0.0548468 -2.45049 0.140858
1.215 -3.06694 0.0674104 -1.41084 0.124906
1.23 -2.24026 0.102579 -0.487109 0.146312
1.245 -1.26234 0.0955751 0.570337 0.115752
1.26 -0.233052 0.122388 1.86557 0.129043
1.275 1.2792 0.129687 3.35602 0.11385
1.29 2.48366 0.171294 5.23451 0.131587
1.305 3.74264 0.204907 7.28678 0.122493
1.32 5.68338 0.220475 9.55631 0.12947
1.335 8.70089 0.213164 11.0112 0.112401
