rho b E dEavg EJF dEJFavg
0.2 1.05 -0.25185 0.0083241 -0.243216 0.0133169
0.2 1.06579 -0.298264 0.00660108 -0.291727 0.0117132
0.2 1.08158 -0.331073 0.00470709 -0.323851 0.00966663
0.2 1.09737 -0.354377 0.00362014 -0.346996 0.00897738
0.2 1.11316 -0.3681 0.00257505 -0.356737 0.00780755
0.2 1.12895 -0.378463 0.00183062 -0.37003 0.00722028
0.2 1.14474 -0.380324 0.00166001 -0.370242 0.00790896
0.2 1.16053 -0.378345 0.00185566 -0.367651 0.00659106
0.2 1.17632 -0.373029 0.00255994 -0.358835 0.00604426
0.2 1.19211 -0.363912 0.00260386 -0.348448 0.00448318
0.2 1.20789 -0.34864 0.00339876 -0.337499 0.00451969
0.2 1.22368 -0.336325 0.00459865 -0.317366 0.00498276
0.2 1.23947 -0.314731 0.00536196 -0.302069 0.00474175
0.2 1.25526 -0.295961 0.0050584 -0.279059 0.00379833
0.2 1.27105 -0.272435 0.00533518 -0.256649 0.0035448
0.2 1.28684 -0.251573 0.00719005 -0.231348 0.00411339
0.2 1.30263 -0.223293 0.00611048 -0.206342 0.00318293
0.2 1.31842 -0.203739 0.00819047 -0.175587 0.00384872
0.2 1.33421 -0.189336 0.0334319 -0.14205 0.00865395
0.2 1.35 -0.141705 0.00768428 -0.11922 0.00339405
0.233007 1.05 -0.235691 0.0150704 -0.222906 0.0235712
0.233007 1.06579 -0.29899 0.014413 -0.288949 0.0247453
0.233007 1.08158 -0.343629 0.00677769 -0.334324 0.0133009
0.233007 1.09737 -0.363867 0.0282632 -0.328004 0.0964373
0.233007 1.11316 -0.396445 0.00454753 -0.386396 0.0135869
0.233007 1.12895 -0.408763 0.00307419 -0.390584 0.0114785
0.233007 1.14474 -0.415602 0.00204281 -0.403034 0.0086986
0.233007 1.16053 -0.416077 0.00250448 -0.398506 0.00961985
0.233007 1.17632 -0.412166 0.00418037 -0.384459 0.0111522
0.233007 1.19211 -0.402039 0.00257243 -0.380954 0.00674417
0.233007 1.20789 -0.385353 0.00414247 -0.370645 0.00628362
0.233007 1.22368 -0.367763 0.00423535 -0.349787 0.0051698
0.233007 1.23947 -0.346449 0.00490189 -0.327761 0.00484842
0.233007 1.25526 -0.324115 0.00607716 -0.300951 0.00510998
0.233007 1.27105 -0.298389 0.00647338 -0.273414 0.00471923
0.233007 1.28684 -0.270154 0.00706709 -0.24466 0.00456886
0.233007 1.30263 -0.244905 0.0191964 -0.208538 0.010077
0.233007 1.31842 -0.205555 0.0100923 -0.178309 0.00539135
0.233007 1.33421 -0.176347 0.00854047 -0.139842 0.00417868
0.233007 1.35 -0.135278 0.0089418 -0.104007 0.00406141
0.266013 1.05 -0.201902 0.0141738 -0.190446 0.0214039
0.266013 1.06579 -0.27455 0.0128422 -0.25951 0.0216555
0.266013 1.08158 -0.329464 0.0089008 -0.310389 0.0168252
0.266013 1.09737 -0.375424 0.00826717 -0.358431 0.0185876
0.266013 1.11316 -0.404543 0.00497854 -0.386156 0.0131328
0.266013 1.12895 -0.422074 0.00398026 -0.402622 0.0127211
0.266013 1.14474 -0.434228 0.00309786 -0.4126 0.0129068
0.266013 1.16053 -0.437532 0.00280303 -0.414801 0.0101938
0.266013 1.17632 -0.435192 0.00328111 -0.411598 0.00900712
0.266013 1.19211 -0.423654 0.00399868 -0.403585 0.00861988
0.266013 1.20789 -0.406956 0.00429077 -0.387538 0.0069951
0.266013 1.22368 -0.389295 0.00559734 -0.36411 0.00748587
0.266013 1.23947 -0.366367 0.00640131 -0.338499 0.007091
0.266013 1.25526 -0.336264 0.00836136 -0.310828 0.00799855
0.266013 1.27105 -0.307949 0.00873276 -0.277397 0.00710787
0.266013 1.28684 -0.277314 0.00837572 -0.24071 0.00574411
0.266013 1.30263 -0.238084 0.00885698 -0.203174 0.00568499
0.266013 1.31842 -0.199505 0.0112989 -0.161042 0.00622156
0.266013 1.33421 -0.161431 0.0101935 -0.116741 0.00548855
0.266013 1.35 -0.112081 0.0108103 -0.07409 0.00523741
0.29902 1.05 -0.135082 0.0247841 -0.116767 0.0451142
0.29902 1.06579 -0.226952 0.015159 -0.208555 0.0244701
0.29902 1.08158 -0.295216 0.0123901 -0.272486 0.0224605
0.29902 1.09737 -0.348526 0.0103878 -0.327382 0.0216824
0.29902 1.11316 -0.389691 0.00777712 -0.363918 0.0192678
0.29902 1.12895 -0.416498 0.00521451 -0.388155 0.0150394
0.29902 1.14474 -0.434108 0.00408627 -0.411843 0.01421
0.29902 1.16053 -0.441011 0.00432806 -0.415139 0.0154683
0.29902 1.17632 -0.438621 0.0039156 -0.406602 0.0117697
0.29902 1.19211 -0.42934 0.00457265 -0.402481 0.010498
0.29902 1.20789 -0.414952 0.00522889 -0.384266 0.00939252
0.29902 1.22368 -0.396209 0.00819162 -0.359089 0.0121943
0.29902 1.23947 -0.369509 0.00771128 -0.329427 0.00958454
0.29902 1.25526 -0.341259 0.0143052 -0.293712 0.0134786
0.29902 1.27105 -0.304311 0.00897146 -0.260913 0.00800782
0.29902 1.28684 -0.262557 0.0116133 -0.223341 0.00892503
0.29902 1.30263 -0.225236 0.0112284 -0.173747 0.00767668
0.29902 1.31842 -0.174629 0.0121497 -0.127974 0.00727445
0.29902 1.33421 -0.12455 0.014696 -0.0775156 0.00803946
0.29902 1.35 -0.0722164 0.0128158 -0.0231812 0.00683966
0.332027 1.05 -0.0377117 0.0222074 -0.0151037 0.0328563
0.332027 1.06579 -0.138056 0.0191061 -0.108491 0.0307552
0.332027 1.08158 -0.232279 0.0159046 -0.205112 0.0281927
0.332027 1.09737 -0.293817 0.0146119 -0.257638 0.0307772
0.332027 1.11316 -0.326479 0.0243553 -0.24516 0.0645439
0.332027 1.12895 -0.389326 0.00705382 -0.363699 0.0184982
0.332027 1.14474 -0.412747 0.00563186 -0.381223 0.0172723
0.332027 1.16053 -0.420992 0.00544585 -0.376027 0.0209439
0.332027 1.17632 -0.426352 0.00505733 -0.384992 0.0160675
0.332027 1.19211 -0.415907 0.00697976 -0.37649 0.0194014
0.332027 1.20789 -0.401626 0.0067572 -0.360708 0.0127827
0.332027 1.22368 -0.37755 0.00756287 -0.335656 0.0119412
0.332027 1.23947 -0.348797 0.00822637 -0.305399 0.0109987
0.332027 1.25526 -0.317438 0.00990217 -0.269441 0.0107657
0.332027 1.27105 -0.277355 0.0105901 -0.228048 0.00939286
0.332027 1.28684 -0.247307 0.0231956 -0.167285 0.0176772
0.332027 1.30263 -0.187015 0.0161426 -0.126368 0.0109441
0.332027 1.31842 -0.136263 0.0133217 -0.0674952 0.00855245
0.332027 1.33421 -0.0792195 0.0167594 -0.0098762 0.00990198
0.332027 1.35 -0.00436544 0.0162986 0.0525093 0.00907054
0.365033 1.05 0.11696 0.0360287 0.152946 0.0532714
0.365033 1.06579 -0.0350212 0.0227498 -0.00899791 0.035288
0.365033 1.08158 -0.138434 0.0193006 -0.109367 0.0325658
0.365033 1.09737 -0.222523 0.0151448 -0.190449 0.0283754
0.365033 1.11316 -0.285656 0.0117845 -0.250679 0.0254236
0.365033 1.12895 -0.325925 0.0106006 -0.282406 0.0280915
0.365033 1.14474 -0.359306 0.00756999 -0.311435 0.0212433
0.365033 1.16053 -0.378383 0.00679204 -0.331803 0.0223958
0.365033 1.17632 -0.382682 0.00614285 -0.332293 0.0184637
0.365033 1.19211 -0.378269 0.00628234 -0.323972 0.0165837
0.365033 1.20789 -0.363472 0.00799772 -0.30793 0.0170458
0.365033 1.22368 -0.338105 0.00948136 -0.291966 0.0156318
0.365033 1.23947 -0.304162 0.0108262 -0.259991 0.0153693
0.365033 1.25526 -0.267291 0.0116709 -0.21731 0.0132168
0.365033 1.27105 -0.227529 0.0131397 -0.161979 0.0132866
0.365033 1.28684 -0.174829 0.0152304 -0.111209 0.0130079
0.365033 1.30263 -0.122608 0.0201544 -0.0526796 0.014966
0.365033 1.31842 -0.0661854 0.0168472 0.0124668 0.0112431
0.365033 1.33421 0.00746345 0.0183999 0.0850424 0.0116137
0.365033 1.35 0.0730625 0.0204607 0.160407 0.0115641
